Table 1,,,,,,
난이도,맵 이름,강주력,주력,1군,2군,3군
루키,빌리지 고가의 질주,13649,13749,13849,13949,14049
,빌리지 남산,13099,13199,13299,13449,13599
,비치 해변 드라이브,14849,14949,15099,15249,15399
,WKC 싱가폴 서킷,15699,15849,15999,20199,20399
,1920 아슬아슬 비행장,21949,22099,222 49,22399,22599
,차이나 라사,14299,14399,14549,14699,14899
,차이나 용의 운하,15949,20049,20199,20399,20599
,쥐라기 공룡 무덤,13899,13999,14149,14299,14449
L3,WKC 코리아 서킷,14449,14549,14699,14849,14999
,월드 두바이 다운타운,14049,14149,14299,14449,14599
,도검 야외 수련관,12799,12899,13049,13199,13349
,월드 리오 다운힐,10649,10749,10849,10949,11099
,쥐라기 공룡 결투장,14849,14949,15099,15249,15399
,문힐시티 폭우속의 질주,12749,12849,12999,13149,13299
,메카닉 잊혀진 도시의 중심부,14899,15049,15199,15399,15599
,빌리지 운명의 다리,15799,15999,20199,20399,20599
,도검 용의 길,5949,10049,10149,10249,10349
,네모 장난감 선물 공장,10749,10849,10949,11049,11149
,브로디 비밀의 연구소,20099,20199,20399,20599,20799
,노르테유 전투비행장,14599,14699,14899,15099,15299
,//빌리지 고가의 질주,13749,13849,13949,14049,14149
,빌리지 익스트림 경기장,13599,13799,13949,14099,14299
,월드 파리 에펠탑 다이브,15599,15699,15899,20099,20299
,월드 뉴욕 대질주,12199,12299,12449,12599,12749
,월드 이탈리아 피사의 사탑,5999,10099,10199,10299,10449
,차이나 청명한 하늘의 서호,14849,14999,15149,15299,15499
,신화 신들의 세계,12549,12649,12749,12899,13049
,팩토리 부비트랩 공장 탐험,13999,14149,14299,14499,14699
,//해적 로비 절벽의 전투,14999,15199,15399,15599,15799
,동화 마녀의 성,15299,15499,15699,15899,20099
,문힐시티의 지피의 시청광장,12499,12599,12699,12799,12949
,광산 아슬아슬 궤도 전차,12899,12999,13149,13299,13499
,사막 놀라운 공룡 유적지,13749,13849,13999,14149,14299
L2,차이나 서안 병마용,13599,13749,13899,14049,14299
,빌리지 만리장성,13899,14049,14199,14349,14499
,해적 로비 절벽의 전투,14899,15049,15199,15399,15599
,님프 바다신전의 비밀,21249,21399,21599,21799,21999
,포레스트 지그재그,20499,20699,20899,21099,21299
,WKC 브라질 서킷,14349,14499,14649,14799,14999
,사막 빙글빙글 공사장,15049,15249,15449,15649,15849
,대저택 은밀한 지하실,15399,15599,15799,15999,20199
,차이나 황산,10549,10649,10749,10849,10999
,해적 숨겨진 보물,15499,15699,15899,20099,20299
,빌리지 붐힐 터널,10599,10699,10799,10899,11049
,아이스 갈라진 빙산,12899,13049,13199,13399,13599
,황금문명 비밀장치의 위협,14649,14849,15049,15249,15449
,네모 산타의 비밀 공간,13199,13349,13599,13749,13899
,황금문명 오르에트 황금 좌표,13199,13349,13499,13649,13799
,차이나 골목길 대질주,20199,20299,20449,20599,20799
,해적 가파른 감시탑,13999,14149,14299,14449,14599
,도검 구름의 협곡,13499,13649,13799,13949,14099
,팩토리 두 개의 공장,14799,14949,15099,15299,15499
,해적 상어섬의 비밀,20899,21049,21199,21399,21599
,포레스트 오싹한 공중다리,20199,20349,20499,20699,20899
,포레스트 대관령,11749,11849,11949,12049,12199
,광산 3개의 지름길,12649,12799,12999,13199,13399
,쥐라기 공룡섬 대모험,14949,15099,15249,15399,15599
L1,동화 이상한 나라의 문,15099,15299,15499,15699,15899
,노르테유 익스프레스,14799,14999,15199,15399,15599
,광산 꼬불꼬불 다운힐,10849,10949,11099,11249,11399
,팩토리 미완성 5구역,11299,11399,11499,11649,11799
,포레스트 아찔한 다운힐,12999,13099,13299,13499,13699
,공동묘지 마왕의 초대,14249,14399,14599,14799,14999
,아이스 설산 다운힐,20749,20899,21099,21299,21499
,//포레스트 지그재그,20399,20599,20799,20999,21199
,문힐시티 숨겨진 지하터널,15049,15199,15399,15599,15799
