맵 이름,강주,주,1,2,3,4,
빌리지 고가의 질주,,,,,,,
빌리지 남산,,,,,,,
비치 해변 드라이브,,,,,,,
WKC 싱가폴 서킷,,,,,,,
1920 아슬아슬 비행장,,,,,,,
차이나 라사,,,,,,,
차이나 용의 운하,,,,,,,
쥐라기 공룡 무덤,,,,,,,
WKC 코리아 서킷,,1.44.99,1.47.49,1.47.49,1.48.99,,
월드 두바이 다운타운,,1.40.99,1.43.99,1.43.99,1.45.49,,
도검 야외 수련관,,1.28.99,1.30.99,1.30.99,1.32.49,,
월드 리오 다운힐,,1.06.99,1.08.99,1.08.99,1.09.99,,
쥐라기 공룡 결투장,,1.48.99,1.50.99,1.50.99,1.52.49,,
문힐시티 폭우속의 질주,,1.28.49,1.30.49,1.30.49,1.31.99,,
메카닉 잊혀진 도시의 중심부,,1.49.99,1.52.49,1.52.49,1.53.99,,
빌리지 운명의 다리,,1.58.99,2.01.99,2.01.99,2.03.99,,
도검 용의 길,,0.59.99,1.01.99,1.01.99,1.02.99,,
네모 장난감 선물 공장,,1.07.99,1.09.99,1.09.99,1.10.99,,
브로디 비밀의 연구소,,2.01.49,2.04.49,2.04.49,2.06.49,,
노르테유 전투비행장,,1.46.49,1.49.49,1.49.49,1.50.99,,
//빌리지 고가의 질주,,1.37.99,1.39.99,1.39.99,1.40.99,,
빌리지 익스트림 경기장,,1.36.49,1.39.49,1.39.49,1.40.99,,
월드 파리 에펠탑 다이브,,1.56.49,1.59.49,1.59.49,2.00.99,,
월드 뉴욕 대질주,,1.22.49,1.24.49,1.24.49,1.25.99,,
월드 이탈리아 피사의 사탑,,0.59.99,1.01.99,1.01.99,1.02.99,,
차이나 청명한 하늘의 서호,,1.48.99,1.51.49,1.51.49,1.52.99,,
신화 신들의 세계,,1.25.99,1.27.99,1.27.99,1.28.99,,
팩토리 부비트랩 공장 탐험,,1.40.99,1.43.49,1.43.49,1.44.99,,
//해적 로비 절벽의 전투,,1.50.99,1.53.99,1.53.99,1.55.99,,
동화 마녀의 성,,1.53.49,1.56.99,1.56.99,1.58.99,,
문힐시티 지피의 시청광장,,1.25.49,1.27.49,1.27.49,1.28.49,,
광산 아슬아슬 궤도 전차,,1.29.49,1.31.99,1.31.99,1.33.49,,
차이나 서안 병마용,,,,,,,
빌리지 만리장성,,,,,,,
해적 로비 절벽의 전투,,,,,,,
님프 바다신전의 비밀,,,,,,,
포레스트 지그재그,,,,,,,
WKC 브라질 서킷,,,,,,,
사막 빙글빙글 공사장,,,,,,,
대저택 은밀한 지하실,,,,,,,
차이나 황산,,,,,,,
해적 숨겨진 보물,,,,,,,
빌리지 붐힐 터널,,,,,,,
아이스 갈라진 빙산,,,,,,,
황금문명 비밀장치의 위협,,,,,,,
네모 산타의 비밀 공간,,,,,,,
황금문명 오르에트 황금 좌표,,,,,,,
차이나 골목길 대질주,,,,,,,
해적 가파른 감시탑,,,,,,,
도검 구름의 협곡,,,,,,,
팩토리 두 개의 공장,,,,,,,
해적 상어섬의 비밀,,,,,,,
포레스트 오싹한 공중다리,,,,,,,
포레스트 대관령,,,,,,,
광산 3개의 지름길,,,,,,,
동화 이상한 나라의 문,,1.51.99,1.53.99,1.55.99,1.57.99,1.59.99,"2.01,99"
노르테유 익스프레스,,1.48.49,1.49.99,1.51.99,1.53.99,1.55.99,1.57.99
광산 꼬불꼬불 다운힐,,1.08.99,1.09.99,1.10.99,1.12.49,1.13.99,1.15.99
팩토리 미완성 5구역,,1.13.49,1.14.49,1.15.49,1.16.49,1.17.99,1.19.99
포레스트 아찔한 다운힐,,1.30.99,1.31.99,1.33.49,1.34.99,1.36.99,1.38.99
공동묘지 마왕의 초대,,1.42.99,1.44.49,1.45.99,1.47.99,1.49.99,1.51.99
아이스 설산 다운힐,,2.07.99,2.09.99,2.11.99,2.13.99,2.15.99,2.17.99
//포레스트 지그재그,,2.04.49,2.06.49,2.08.49,2.10.49,2.12.49,2.14.49
문힐시티 숨겨진 지하터널,,1.50.99,1.52.99,1.54.99,1.56.99,1.58.99,2.00.99
